,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,wf8_avg_e2e_latency,wf8_violation_rate,wf9_avg_e2e_latency,wf9_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,4.552594149399709e-16,0.0,0.0,0.013672668064289795,4.756685931759573e-16,1.146372214022584e-05,0.0,0.0,2.8957046804983497e-16,2.220446049250313e-16,0.0,0.0,8.553005179634764e-16,6.661338147750939e-16,2.7761497149704913e-16,2.220446049250313e-16,0.0,6.661338147750939e-16,0.0,0.0,5.832267895368982e-05,3.849071506724915e-05,0.0051408376527295975
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,6.661338147750939e-16,0.0,0.030940191423205476,0.022984944783866174,0.016998557978362472,0.0,0.0,4.3435570207475246e-16,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.010445472492134553,0.0018496687430513692,0.0,6.661338147750939e-16,0.0,0.0,8.215326229518343e-15,2.718598293342996e-15,0.06182935894651569
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040224496647130265,0.04379302415124409,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,2.220446049250313e-16,1.585561977253191e-16,0.009819073505013654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020547208408887768,0.016092365587213164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,0.0,0.00014242044094275847,0.0002686887773066804,0.0,6.661338147750939e-16,4.3542297529623225e-16,4.440892098500626e-16,0.0,0.0,0.008570835400289899,0.006534456218253659,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
