,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,wf8_avg_e2e_latency,wf8_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,3.0515786291451407e-16,1.6653345369377346e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.657956409716576e-16,4.440892098500626e-16,0.0046978454801280866,0.003657781195335108,0.0005230512084246697,0.0007572370496353731,0.0,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.034441777654724164,0.008792677651196401,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.028157660170106687,0.027833233215807995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,3.2484227835279495e-05,3.3798028280518366e-05,0.0,0.0,0.0,0.0,0.0,2.4041264545360264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016483167137159875,0.0
s9_avg_threads,0.0,0.0,0.0,0.0,0.00013988888522775643,0.00014582032330867634,0.06744076922521951,0.008993431593157464,0.0,0.0,0.0,0.0001109311366369603,1.552652136572192e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0757483458437072
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,0.0,4.045882546467106e-16,6.661338147750939e-16,0.0004200304893055928,0.0004364237451526254,0.004663912307710303,0.003213873928858968,0.08933197139308445,0.02485123925149768,0.0,0.000328768529643364,7.76326068286096e-16,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.009389301385552653,0.13483255604213196
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,0.0,0.0,0.0,0.0,0.0020610969527082947,0.0020654703260245544,0.0,0.0,0.0,0.0,0.11487617427945127,0.04899580680166271,3.105304273144384e-16,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.2940338340058832e-15
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01823016745206285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034150803248563953,2.220446049250313e-16,0.0,0.0,0.0
s18_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05570147140098201,0.07116960634314196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s19_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880648798811603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020672988387401496,4.440892098500626e-16,0.0,0.0,0.0
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s21_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.657956409716576e-16,8.881784197001252e-16,0.04189492001892577,0.05031654866007651,0.0,0.0,0.0,0.0,0.0
s22_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.311806041196461e-16,4.440892098500626e-16,0.0,0.0,3.105304273144384e-16,2.220446049250313e-16,0.00017673681737197296,0.00013760505340587592,1.9700007393783378e-05,2.8521900968137004e-05,0.0,0.0,0.0
s24_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750152239191664,6.661338147750939e-16,0.0,0.0,0.0
s25_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s26_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
