,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads,s18_avg_threads,s19_avg_threads,s20_avg_threads,s21_avg_threads,s22_avg_threads,s23_avg_threads,s24_avg_threads,s25_avg_threads,s26_avg_threads
s0_avg_threads,0.0,0.0,0.0,1.8413953139579336e-27,0.0,0.0,0.0,0.0,0.0,4.393030585794205e-28,0.0,0.0,6.652129584402223e-28,0.0,0.0,5.851194053745891e-28,0.0,0.015982220714072463,1.0567560155563341e-13,0.019836678589226057,0.0,0.9653108856542317,0.0,0.9997751671120741,0.08679936443481548,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,1.8413953139579336e-27,0.0,0.0,0.0,0.0,0.0,8.78073363096206e-15,0.0,2.5597987439619836e-16,1.7888266372683427e-17,0.0,0.0,3.4273804755430037e-15,0.0,0.0,2.065166247873332e-16,0.0,0.0,1.9672054944021268e-14,0.0,0.0,3.388701964473797e-28,0.0,2.4472655815793194e-26,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,8.78073363096206e-15,0.0,0.0,0.0,0.0,0.028409597965099218,0.0019834690124189377,0.0,0.0,0.0036912502632473563,0.0,0.0,0.02335207905318701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,2.5597987439619836e-16,0.0,0.0,0.028409597965099218,0.0,0.0,7.227961084666247e-05,0.0,0.0,0.05734146079279918,0.0,0.0,0.006379994244081512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,4.393030585794205e-28,0.0,0.0,1.7888266372683427e-17,0.0,0.0,0.0019834690124189377,0.0,7.227961084666247e-05,0.0,0.0,0.0,0.632049873922869,0.0,0.0,0.0004735527838340143,0.0,0.0867983489634816,4.373556751849247e-15,0.08597121182408808,0.0,6.999846579858503e-29,0.0,6.3606492737932886e-27,0.0,0.0,0.0
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,6.652129584402223e-28,0.0,0.0,3.4273804755430037e-15,0.0,0.0,0.0036912502632473563,0.0,0.05734146079279918,0.632049873922869,0.0,0.0,0.0,0.0,0.0,0.0008722788553726082,0.0,0.01925657021518363,6.114495835553959e-15,0.0190730664435967,0.0,8.875139685969525e-29,0.0,1.092512479948058e-12,0.0,0.0,0.0
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,5.851194053745891e-28,0.0,0.0,2.065166247873332e-16,0.0,0.0,0.02335207905318701,0.0,0.006379994244081512,0.0004735527838340143,0.0,0.0,0.0008722788553726082,0.0,0.0,0.0,0.0,0.0,5.7299521693371205e-15,0.0,0.0,8.999874481847051e-29,0.0,8.627623805992361e-27,0.0,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.015982220714072463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867983489634816,0.0,0.0,0.01925657021518363,0.0,0.0,0.0,0.0,0.0,0.0,0.9987455796957536,0.0,0.0,0.0,0.016000124709952206,0.18408691983947287,0.0,0.0
s18_avg_threads,1.0567560155563341e-13,0.0,0.0,1.9672054944021268e-14,0.0,0.0,0.0,0.0,0.0,4.373556751849247e-15,0.0,0.0,6.114495835553959e-15,0.0,0.0,5.7299521693371205e-15,0.0,0.0,0.0,0.0,0.0,1.506369599777728e-14,0.0,1.6155130978023338e-12,0.0,0.0,0.0
s19_avg_threads,0.019836678589226057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597121182408808,0.0,0.0,0.0190730664435967,0.0,0.0,0.0,0.0,0.9987455796957536,0.0,0.0,0.0,0.0,0.0,0.019858900520588606,0.22848345837954484,0.0,0.0
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s21_avg_threads,0.9653108856542317,0.0,0.0,3.388701964473797e-28,0.0,0.0,0.0,0.0,0.0,6.999846579858503e-29,0.0,0.0,8.875139685969525e-29,0.0,0.0,8.999874481847051e-29,0.0,0.0,1.506369599777728e-14,0.0,0.0,0.0,0.0,0.9652814146461572,0.0,0.0,0.0
s22_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23_avg_threads,0.9997751671120741,0.0,0.0,2.4472655815793194e-26,0.0,0.0,0.0,0.0,0.0,6.3606492737932886e-27,0.0,0.0,1.092512479948058e-12,0.0,0.0,8.627623805992361e-27,0.0,0.016000124709952206,1.6155130978023338e-12,0.019858900520588606,0.0,0.9652814146461572,0.0,0.0,0.08689660095100481,0.0,0.0
s24_avg_threads,0.08679936443481548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18408691983947287,0.0,0.22848345837954484,0.0,0.0,0.0,0.08689660095100481,0.0,0.0,0.0
s25_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s26_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
