,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads
s0_avg_threads,0.0,0.6876932289778104,0.0,0.0007856271146918346,0.06957494841007619,0.0,0.06993392317370409,0.0,0.0,0.567249456385443,0.0,0.0
s1_avg_threads,0.6876932289778104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6794978766012593e-15,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0007856271146918346,0.0,0.0,0.0,0.011070233496915197,0.0,0.011228782817334282,0.6361192258533822,0.0,9.211151876111482e-05,0.0,0.0
s4_avg_threads,0.06957494841007619,0.0,0.0,0.011070233496915197,0.0,0.0,0.9948826341395248,0.0,0.0,0.008133999770875483,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.06993392317370409,0.0,0.0,0.011228782817334282,0.9948826341395248,0.0,0.0,0.0,0.0,0.008188078654420172,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.6361192258533822,0.0,0.0,0.0,0.0,0.0,3.1545372230862494e-15,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.567249456385443,2.6794978766012593e-15,0.0,9.211151876111482e-05,0.008133999770875483,0.0,0.008188078654420172,3.1545372230862494e-15,0.0,0.0,0.31604369303154206,0.0
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31604369303154206,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
