,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads,s18_avg_threads,s19_avg_threads,s20_avg_threads,s21_avg_threads,s22_avg_threads,s23_avg_threads
s0_avg_threads,0.0,0.0,0.0,3.285617421350971e-17,0.0,0.0,1.134509647922865e-28,0.0,0.0,1.825972315633294e-15,1.6520669436557116e-14,0.0,1.1913591932249911e-17,1.2142963065586467e-15,0.0,1.1380396830123976e-16,0.3064011857459514,0.0,0.0,5.899516100870799e-15,0.0,1.1575339020649396e-15,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,3.285617421350971e-17,0.0,0.0,0.0,0.0,0.0,1.0008469728673534e-15,0.0,0.0,0.017100490719874645,0.016957066516384615,0.0,2.9729606186093796e-05,0.30104968805103033,0.0,0.0010156256235514507,0.27306717435074246,0.0,0.0,3.912449438026779e-17,0.0,5.402600080929066e-17,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,1.134509647922865e-28,0.0,0.0,1.0008469728673534e-15,0.0,0.0,0.0,0.0,0.0,1.075219848931295e-13,6.299145787184399e-14,0.0,9.722214065034507e-17,3.4326945140309096e-14,0.0,2.1095306770044208e-14,0.0,0.0,0.0,1.1516534714998552e-28,0.0,1.5013570152760825e-15,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,1.825972315633294e-15,0.0,0.0,0.017100490719874645,0.0,0.0,1.075219848931295e-13,0.0,0.0,0.0,0.9383904424212275,0.0,0.0017302783211769288,0.5509918638188065,0.0,0.0563212754705446,0.004500652474041779,0.0,0.0,0.2159003253038418,0.0,0.009766185612659607,0.0,0.0
s10_avg_threads,1.6520669436557116e-14,0.0,0.0,0.016957066516384615,0.0,0.0,6.299145787184399e-14,0.0,0.0,0.9383904424212275,0.0,0.0,0.001640278052642634,0.6028046463608057,0.0,0.05789210900091098,1.1468333039650152e-14,0.0,0.0,1.823739294764008e-15,0.0,3.2759363637378143e-15,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,1.1913591932249911e-17,0.0,0.0,2.9729606186093796e-05,0.0,0.0,9.722214065034507e-17,0.0,0.0,0.0017302783211769288,0.001640278052642634,0.0,0.0,0.5414582225108185,0.0,0.00010431889328810259,0.5914066610578302,0.0,0.0,3.765713788388754e-18,0.0,0.007911825478216276,0.0,0.0
s13_avg_threads,1.2142963065586467e-15,0.0,0.0,0.30104968805103033,0.0,0.0,3.4326945140309096e-14,0.0,0.0,0.5509918638188065,0.6028046463608057,0.0,0.5414582225108185,0.0,0.0,0.03443375368185197,0.3841386183607654,0.0,0.0,9.850153455831374e-16,0.0,0.13016661639422317,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
