,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads
s0_avg_threads,0.0,0.7355830410457518,0.24887950415038304,0.2881549806402709,0.8016734760283845,0.0,0.9427905911814802,0.9413504783589755,0.0,7.955837294683163e-15,2.764499897823056e-12,0.0,3.978948981271695e-15,0.7716579643899257,0.0,9.281310006153105e-16,0.0,0.0
s1_avg_threads,0.7355830410457518,0.0,0.8023585781532598,0.8161871351558505,0.9689765218929728,0.0,0.5793575355909703,0.5794220187605172,0.0,7.420922312993367e-15,3.5111614810150278e-12,0.0,3.1520198856939605e-15,0.9326970054315326,0.0,1.6380934910069637e-15,0.0,0.0
s2_avg_threads,0.24887950415038304,0.8023585781532598,0.0,0.9977080943447917,0.7203866452793128,0.0,0.012064348965526304,0.012034974270973818,0.0,3.1697047574666215e-15,2.173565234595191e-12,0.0,1.4880633960026195e-15,0.6934145994500133,0.0,1.1759928266106125e-15,0.0,0.0
s3_avg_threads,0.2881549806402709,0.8161871351558505,0.9977080943447917,0.0,0.7394059493449473,0.0,0.054223362444917975,0.054113399934013956,0.0,3.269079899097688e-15,2.1200807032157947e-12,0.0,1.6927620164493128e-15,0.7117218004467455,0.0,1.1222801476935e-15,0.0,0.0
s4_avg_threads,0.8016734760283845,0.9689765218929728,0.7203866452793128,0.7394059493449473,0.0,0.0,0.6494300359318814,0.6461707680749653,0.0,7.935345756341833e-15,3.5935493827598102e-12,0.0,3.3027279345406975e-15,0.9623425319753639,0.0,1.4666704305184265e-15,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.9427905911814802,0.5793575355909703,0.012064348965526304,0.054223362444917975,0.6494300359318814,0.0,0.0,0.9996639194693956,0.0,7.289376245849915e-15,2.2097496239297698e-12,0.0,3.771263557690846e-15,0.6251146813832325,0.0,7.1882702604584835e-16,0.0,0.0
s7_avg_threads,0.9413504783589755,0.5794220187605172,0.012034974270973818,0.054113399934013956,0.6461707680749653,0.0,0.9996639194693956,0.0,0.0,7.265786719490385e-15,2.198659644220451e-12,0.0,3.771683303724095e-15,0.6219774439978455,0.0,7.250787745048937e-16,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,7.955837294683163e-15,7.420922312993367e-15,3.1697047574666215e-15,3.269079899097688e-15,7.935345756341833e-15,0.0,7.289376245849915e-15,7.265786719490385e-15,0.0,0.0,0.816414884260567,0.0,0.012127989856502793,0.14898800390778835,0.0,3.4168987278955946e-15,0.0,0.0
s10_avg_threads,2.764499897823056e-12,3.5111614810150278e-12,2.173565234595191e-12,2.1200807032157947e-12,3.5935493827598102e-12,0.0,2.2097496239297698e-12,2.198659644220451e-12,0.0,0.816414884260567,0.0,0.0,0.046881271613953356,0.034388591500655596,0.0,1.5049207850791086e-12,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,3.978948981271695e-15,3.1520198856939605e-15,1.4880633960026195e-15,1.6927620164493128e-15,3.3027279345406975e-15,0.0,3.771263557690846e-15,3.771683303724095e-15,0.0,0.012127989856502793,0.046881271613953356,0.0,0.0,3.179070271262389e-15,0.0,1.0709603630493965e-15,0.0,0.0
s13_avg_threads,0.7716579643899257,0.9326970054315326,0.6934145994500133,0.7117218004467455,0.9623425319753639,0.0,0.6251146813832325,0.6219774439978455,0.0,0.14898800390778835,0.034388591500655596,0.0,3.179070271262389e-15,0.0,0.0,1.4117567222651546e-15,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,9.281310006153105e-16,1.6380934910069637e-15,1.1759928266106125e-15,1.1222801476935e-15,1.4666704305184265e-15,0.0,7.1882702604584835e-16,7.250787745048937e-16,0.0,3.4168987278955946e-15,1.5049207850791086e-12,0.0,1.0709603630493965e-15,1.4117567222651546e-15,0.0,0.0,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
